"Date","Daily Issuance Rate","Active Supply","Transaction Volume","Adjusted Transaction Volume","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions Count","Transactions per Second Count"
"2018-03-25","0.00996198295614874","15150869.21033165","5111270341.2301445","1787819497.157619","211811.62282687","1.65891915641083","86.71309700295318","0.01027332","137632","1.59296296296296"
"2018-03-24","0.011512771649677","15148630.17235388","4410156824.733453","1500548265.4222744","174259.6988221","1.24045605849948","95.74015639069378","0.01111837","159401","1.84491898148148"
"2018-03-23","0.00981650598144989","15147053.4225153","5182741172.1152725","2147465987.3729155","244816.24390128","1.23413295285139","97.19366850568521","0.01108031","177341","2.05255787037037"
"2018-03-22","0.010555625331541","15144931.10529531","4843327389.7786255","2086783365.6510925","239566.48329293","1.21739377729382","105.95652827086853","0.012164","180421","2.08820601851852"
"2018-03-21","0.0112211498499081","15144013.25673208","6142805286.923493","2320343115.8131514","261311.84024484","1.38084109541419","114.88570002259226","0.01293817","199262","2.30627314814815"
"2018-03-20","0.00937661815738965","15142104.91311363","5113411112.418746","2361679441.131784","265490.06975886","1.19542684443339","117.96892160440147","0.01326157","193222","2.23636574074074"
"2018-03-19","0.0114449772021679","15139613.91374452","5548916313.494932","2441971201.2997713","286045.06645499","1.32948349418972","114.6079407653329","0.013424825","193494","2.23951388888889"
"2018-03-18","0.0111508991696572","15136327.79988279","4083722948.535731","1777834131.2759147","217099.82922786","1.14913435646662","105.63831567729403","0.0129","164511","1.9040625"
"2018-03-17","0.0110044322340625","15134683.15782259","3200582826.7008147","1386758206.1455104","175947.43597617","1.03722204114279","86.68275425167411","0.01099803","151432","1.75268518518519"
"2018-03-16","0.0115226869895951","15133173.27812059","5007629285.585842","2012756822.4203856","240274.53373041","1.14472875093231","90.28468507024762","0.01077781","188256","2.17888888888889"
"2018-03-15","0.0106375521837752","15130419.81880891","6554228027.466429","2410483150.0166383","291522.90848193","1.53054428884699","119.32950823774165","0.014431665","201087","2.32739583333333"
"2018-03-14","0.0106386838793243","15129209.19325139","5690143322.385993","2365608602.5575523","287712.47802209","1.41762899594372","115.7878601799846","0.01408247","193089","2.23482638888889"
"2018-03-13","0.0116742423533313","15126402.11759044","5786378672.366115","2539828943.5930386","277257.46849593","1.27330162168506","105.73336827139977","0.01154226","199201","2.30556712962963"
"2018-03-12","0.0118972941017718","15121494.32922486","6029944758.314466","2323705400.002749","254015.44554302","1.37066775346409","101.54158100461727","0.0111","185230","2.14386574074074"
"2018-03-11","0.0113074694914169","15120023.75575798","4493158654.995247","2030879019.1062891","213472.58760988","1.14351228871112","95.1353539976622","0.01","157234","1.81983796296296"
"2018-03-10","0.0103478741925099","15117451.71105225","3846084926.7249484","1856449221.86764","211282.8151705","1.14441733184966","94.59610951557218","0.010766","149505","1.73038194444444"
"2018-03-09","0.0107924713063983","15115405.69292893","7470137942.866127","3527050686.867472","380146.34365473","1.41319372036367","102.84859037528287","0.011085045","202179","2.34003472222222"
"2018-03-08","0.011976500448295","15113988.6803246","6570830411.961243","2579826942.598245","276494.69264529","1.45323471126255","115.34581012538135","0.012362265","189879","2.19767361111111"
"2018-03-07","0.0116082456343206","15109744.30904031","6421318465.07604","2736002860.50762","276277.83129641","1.16251495538519","107.65118893362595","0.01087047","212833","2.46334490740741"
"2018-03-06","0.0115356468502594","15108310.47025652","6904237108.325539","2936338361.87014","275014.39288909","1.21250763075935","121.3872135396371","0.011369","208778","2.41641203703704"
"2018-03-05","0.0110192928177854","15106454.78541166","8414119501.867041","3646299325.687392","315952.34522956","1.36028834878751","133.12563680293104","0.011535355","205776","2.38166666666667"
"2018-03-04","0.0109465440641745","15104424.94038731","4984167766.725486","1946591897.8474216","169821.39752445","1.04056687720647","108.89454037668035","0.0095","154847","1.79221064814815"
"2018-03-03","0.0133148219152218","15102066.49161924","6742423130.808594","2206445687.1964083","193112.84562486","1.16800756272015","109.54228421126557","0.009587375","179832","2.08138888888889"
"2018-03-02","0.0115410489966464","15100333.03421944","7987741803.33123","2699201163.231933","245068.7157012","1.21086840664282","90.83580383478213","0.00824726","192887","2.23248842592593"
"2018-03-01","0.0122082877109185","15097345.15252744","10311367344.937115","3626399251.977078","331977.46224347","1.49420025013925","129.3571997199252","0.01184196","236700","2.73958333333333"
"2018-02-28","0.0114697917511906","15093712.12307603","9116397890.081587","3614543916.207436","350687.41251648","1.66036659062988","112.31616641004265","0.01089705","190181","2.20116898148148"
"2018-02-27","0.011841143187937","15092957.24209484","7178926601.11467","2894670198.639693","271695.23626227","1.19279412287614","149.1575021279952","0.014","215369","2.49269675925926"
"2018-02-26","0.0104362432048707","15090477.8212947","6925230517.867683","2722493604.1719546","264002.81758153","1.29334028488381","122.73055806052321","0.0119013","191999","2.22221064814815"
"2018-02-25","0.0126580415064992","15089374.72445725","4325369171.185431","1664268637.4169323","173303.05267854","1.11034437216469","102.06905563189054","0.01062862","143945","1.66603009259259"
"2018-02-24","0.01073478582208","15087975.82161384","5642123513.899032","2578482941.9783034","266190.66216953","1.43728456364911","114.29637964043377","0.01179943","153121","1.7722337962963"
