"Date","Bitfinex Net Flows","Binance Net Flows","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions per Second Count","Telegram Users"
"2018-03-20","-29102679.097034525","-31522329.38430459","1782831.49577729","5.46752501618497","58.25070591310816","0.10483596450087","7.65961805555556",""
"2018-03-19","-13312645.032615","50279062.20098537","2157429.05975564","5.74402171930143","66.83934716304059","0.121495554417154","8.14688657407407",""
"2018-03-18","35145228.12154082","-14970631.86501843","2752017.11553369","7.9516139588997","63.89161965385734","0.1187","7.91775462962963",""
"2018-03-17","-4940278.183863738","-1926097.1558400237","1149414.89178876","3.73635317718742","55.18327132231807","0.100175670831296","6.86577546296296",""
"2018-03-16","-10524920.759203607","-894222.6245547971","1330504.63038506","4.04777345287756","60.636985524238085","0.100311927599492","7.5762037037037",""
"2018-03-15","31729944.39091385","-2727651.935473095","1743818.12504308","4.90098149666722","78.34923964970348","0.128196274474061","7.57559027777778",""
"2018-03-14","-9445697.737888692","24852059.78720883","1838825.01204686","4.94481727128304","81.9123484486602","0.133771","7.76849537037037",""
"2018-03-13","-423365954.25253284","78577189.3010456","2668051.08144463","6.92769458532085","69.39581509006045","0.100587916504949","8.09135416666667",""
"2018-03-12","-3953475.7986805737","-41594592.83601","1425588.15186529","3.88551559939976","76.69726122903835","0.110080296615844","7.84615740740741",""
"2018-03-11","-15742479.621429386","-28905339.888865486","1005955.16184362","3.51666779624134","71.95209484510214","0.100204198763266","7.04744212962963",""
"2018-03-10","-1559464.9940516038","50307950.911010444","1065004.24310005","3.187490079909","70.07679546313227","0.102319728859376","6.8446412037037",""
"2018-03-09","26768421.947472192","-21207442.134348556","1668177.71838317","4.77064757550451","106.07904044079957","0.146253199075393","7.52381944444444",""
"2018-03-08","12502266.611176644","-17043734.129266977","1566841.77224468","4.34521435919352","99.96944626904775","0.1429488","7.98771990740741",""
"2018-03-07","29004662.362115778","42200878.491847575","1900607.68331262","3.94158647324158","257.0999473535945","0.342","9.07126157407407",""
"2018-03-06","11814262.416825086","93025537.46971428","1842327.49288479","4.66099531120892","139.96356360496364","0.172295463231671","8.24758101851852",""
"2018-03-05","10190208.565073887","-16959363.740994997","1548392.69004427","3.84054947829182","115.85548411320154","0.136043087504408","8.7124537037037",""
"2018-03-04","-2937741.1736129755","-19787085.97293817","1025446.16398329","3.18408330295194","90.64367710971142","0.105261227771213","7.44491898148148",""
"2018-03-03","-1918046.2785274896","-11561186.202252965","1023483.40005114","2.97802867405019","96.93712104003149","0.113458018930555","7.7947337962963",""
"2018-03-02","-4351257.371756771","-2424161.048470127","1565724.83431689","4.08589240057542","103.7656478929161","0.121313265","8.61881944444444",""
"2018-03-01","-8409574.208656969","-6073647.395804623","1578675.61210495","4.20962502336296","122.27565339259121","0.140659535885342","7.92134259259259",""
"2018-02-28","-8937995.966347449","-20035153.930980895","1528693.12731009","3.65327214516712","111.59186701448223","0.13108042691594","8.33759259259259",""
"2018-02-27","-3602741.235059361","-8074045.450994521","1446879.65905882","3.81643379967038","102.26010360301731","0.116861613776906","8.03915509259259",""
"2018-02-26","17256278.57806723","36234401.74381524","1746892.95326043","5.35703165410968","99.51504131767386","0.114931619456123","8.53533564814815",""
"2018-02-25","4608739.626476431","-11016850.540581422","1096576.86338413","5.01480886707417","92.65428920514316","0.11","7.99284722222222",""
"2018-02-24","-24112326.652813505","-5061822.569949869","2265096.41586704","8.43114195546621","92.20082169722156","0.110552166707238","8.4821875",""
"2018-02-23","20233106.317346163","6521171.42769123","2060271.77313408","8.10633571874594","135.72832227368983","0.158604259685575","8.48476851851852",""
"2018-02-22","5361371.664854672","-27384394.24511773","3474535.88167711","12.3112323824537","143.73136450172814","0.17808881","8.81820601851852",""
"2018-02-21","9516038.998156302","-5353444.328808934","1878929.92250606","8.34316778336227","135.87503718683033","0.161627648336068","9.8437962962963",""
"2018-02-20","3607445.1155756502","-42328499.842696905","1930671.81772222","8.7389887609386","139.34531126075075","0.15735398","10.2650115740741",""
"2018-02-19","-16139433.197315557","-28132046.088505335","1686244.92214874","7.76775960600417","132.78198117627431","0.141582738243847","9.39101851851852",""
"2018-02-18","-3837062.534487875","-27260541.26884705","1745406.42909478","7.41857308537577","99.93600120678357","0.109182574570222","8.75106481481481",""
"2018-02-17","-1243528.880286557","-17498414.28216858","1447554.69868492","9.09267323948499","178.54544884123686","0.18308001","8.93609953703704",""
"2018-02-16","317852.36237206357","-14807862.36480242","1519069.61997723","9.53776530357927","185.78475289658866","0.197782336774929","8.1569212962963",""
"2018-02-15","-12317382.173741931","-2146477.2171664755","2357212.63937591","10.583094733611","186.71805419612772","0.200800339500352","8.99673611111111",""
"2018-02-14","-5643428.228737066","4386046.030717166","2129352.13749789","9.83432226544928","184.43564555608648","0.200372539697572","8.6387037037037",""
"2018-02-13","78417.8684181662","-12152154.923445933","3228708.70589784","13.1204798186293","168.03735193574883","0.200022848941664","8.63219907407407",""
"2018-02-12","-6306970.418163561","-10722737.873890813","2241878.02036956","8.5151648874057","129.28689437059697","0.14902144","9.59513888888889",""
"2018-02-11","4941676.508633237","132838125.11263156","1926748.49785374","8.23101860428164","162.9783573771571","0.200026636774575","8.9525",""
"2018-02-10","-9651422.119294278","-32848387.71605046","2372116.86995773","10.4378271304423","174.91202665329124","0.205605940410507","9.8193287037037",""
"2018-02-09","1108510.6860341856","-25446180.662620276","2120053.05155435","10.0080231970474","187.81698548363536","0.215","9.14128472222222",""
"2018-02-08","-10191347.418713976","6007135.403524428","1773483.87418392","8.27577946154616","123.93769340955035","0.153302735215493","7.88592592592593",""
"2018-02-07","6477846.720191121","-19764871.957659647","3187411.73310847","12.143364446028","261.06965488427835","0.346","9.47482638888889",""
"2018-02-06","31894316.0503643","1782681.4547290043","3783300.56973191","14.1161371227908","459.129149846356","0.58188101","10.2803125",""
"2018-02-05","53761490.78455182","-18329342.29516915","3376181.85908209","11.884544614359","288.0148846191265","0.41574818","10.1361226851852",""
"2018-02-04","-12022637.110850861","-15085884.92507581","2434073.72379055","9.75208478696898","280.5603334608999","0.335328755","9.26939814814815",""
