"Date","Price (Close)","Price (Open)","Circulating Marketcap","Outstanding Marketcap","1 Day Active Supply","Supply in top 100 addresses","Supply in addresses with balance greater than $10M","Supply in addresses with balance greater than $1M","Supply in addresses with balance greater than $100K","Supply in addresses with balance greater than $10K"
"2017-10-20","5986.71629624693","5698.011708620083","94809807077.8026","99830983341.49812","425997.83056213","2876338.14273375","5534319.30661367","9314386.95378193","14232818.28264435","15830287.84579014"
"2017-10-19","5697.145361684118","5570.852368118386","92690134597.77281","94950999937.29617","420210.59221785","2868781.00552383","5485171.75638644","9261661.29253536","14198438.88860766","15813361.01506188"
"2017-10-18","5575.494976722935","5597.892801545069","93135320396.49341","92868621710.0148","413345.34316024","2859904.43382618","5452760.41734909","9236389.32404802","14186003.76104957","15806396.63136672"
"2017-10-17","5599.770652327541","5752.5516054600475","95724067841.11922","92966938475.27013","424699.43218679","2843717.4324978","5437584.9140815","9249469.77264348","14191743.67258021","15809695.97513213"
"2017-10-16","5749.403064861383","5697.620710243485","94812922201.74254","95711219683.11389","381423.02824576","2849073.7769704","5476796.1678154","9295875.85452064","14217118.04729545","15822050.46746817"
"2017-10-15","5700.936322720641","5818.643288860406","96765997719.41646","94596701288.40845","343765.96344761","2844523.12570753","5456470.70017579","9281656.61032638","14212128.38919045","15819126.08750903"
"2017-10-14","5818.697128874766","5634.604102977622","93744411622.10579","96176536827.74107","477680.52806807","2842201.84203403","5467870.59367951","9293578.04977594","14215589.96723784","15819154.85625261"
"2017-10-13","5635.250093837377","5435.830747056496","90440050363.96088","93313118335.95172","518077.07061828","2838411.48673367","5430132.1261185","9261500.14408724","14195136.55873941","15808104.94719051"
"2017-10-12","5435.651675645545","4819.273038100675","80079376123.67422","89640478588.78906","411401.20695335","2836434.32316716","5381376.8132756","9221005.1517355","14170943.25584768","15798543.20781628"
"2017-10-11","4819.416820692417","4762.759813244841","79200605425.80032","80013491738.5039","432505.64274997","2828036.45879629","4940402.71097551","8957946.68440892","13998537.99097308","15706965.28325582"
"2017-10-10","4761.455658204349","4772.171432044479","79378571858.55267","78777388381.59265","513660.36819434","2823569.25124417","4904006.70218002","8940247.39605278","13977173.27776674","15700569.39372732"
"2017-10-09","4773.167743761985","4605.682574754314","76547856414.5133","79373595751.18408","422155.42338657","2816440.46693805","4933726.48703204","8949795.03350872","13993225.87421114","15704639.19937653"
"2017-10-08","4604.119864513802","4426.980118487966","73625732886.25873","76427080461.49495","320299.07538099","2797498.03395514","4880415.90049572","8905270.4333887","13960381.27944119","15690210.87818141"
"2017-10-07","4427.598783332781","4368.358783421218","72532802767.09079","73727781715.95787","360698.25732647","2791649.6413432","4838998.27258392","8863148.04188931","13927358.26240355","15672543.61749481"
"2017-10-06","4369.856615832531","4314.1132560039805","71704201706.04153","72507648477.25464","404052.75734742","2793054.553385","4819399.64406868","8843316.20073695","13916232.76888208","15664720.44819062"
"2017-10-05","4312.546418316448","4214.090351213771","70002032500.85335","71726893837.48569","384133.4210692","2789263.08248314","4799965.66526733","8828851.68859998","13901659.56129638","15659090.94677495"
"2017-10-04","4214.449797142558","4309.611292358976","71607055341.92746","70014303217.84541","392544.44925974","2791012.40783786","4782714.14550544","8807988.67758844","13890467.4203789","15651816.1868781"
"2017-10-03","4310.027428272119","4393.172485077595","72934751276.19565","71499464247.8438","462429.39480359","2789576.63148334","4814068.46152794","8840763.70664521","13907710.25390796","15660776.57935047"
"2017-10-02","4393.075478232344","4392.347887062121","72868308126.08406","72822788727.59785","416811.41257545","2786684.62840049","4836158.44598198","8861458.47091327","13927152.67383589","15668130.38752416"
"2017-10-01","4393.147480402596","4355.086694965728","72308758015.7695","72735077239.78511","357419.85317344","2786825.76612781","4828587.75520213","8862561.36396987","13929982.83176753","15669481.82763885"
"2017-09-30","4353.7321224234065","4164.438380221737","69068783118.03352","71938913742.75099","393775.28596907","2787741.479788","4818183.67871489","8851086.94716716","13919589.74418239","15665129.06070965"
"2017-09-29","4164.244865620729","4188.4911225651","69494119329.53322","68952075464.79512","484673.97440433","2785830.15591725","4766161.45008368","8803734.35122505","13881844.46402598","15649385.10348459"
"2017-09-28","4188.279017987628","4204.7902595516825","69757773865.26776","69486873129.74437","507635.28421216","2780572.74296481","4762251.77151009","8812601.1571382","13888947.40220008","15647884.43264905"
"2017-09-27","4204.812710742299","3883.5484703592456","64447810605.04282","69809713133.19463","509439.13658555","2787133.74130903","4781333.02905015","8814063.93188179","13890356.55497554","15645245.23481677"
"2017-09-26","3883.5449266573937","3925.9159420271476","65105771791.78593","64531789180.50936","555216.20654919","2784361.25076802","4666598.76594558","8682501.41658527","13762776.70168473","15613638.10412703"
"2017-09-25","3925.658974876166","3663.340864516677","60752168130.42758","65000249826.28987","431966.68788802","2784083.08051661","4666588.2651343","8693550.34076906","13766417.52969051","15613797.19308427"
"2017-09-24","3658.5706191947265","3782.291560315671","62748754688.72322","60983077170.61433","274299.04565624","2782741.66884667","4581601.88935575","8622184.53796561","13718888.72483857","15592996.17272652"
"2017-09-23","3782.5745959066","3605.724309051627","59765490761.61386","62613280673.655174","357658.64064102","2786634.16558882","4619799.08629477","8661031.43777731","13742683.79951169","15603272.49759888"
"2017-09-22","3607.990935062008","3607.378730049324","59833987808.4151","60012303857.526596","414642.7211493","2788179.49214138","4561241.60774148","8607737.90561112","13713709.85559011","15588267.47873659"
"2017-09-21","3605.0766621239795","3870.9861027815746","64205308880.37537","59973348985.818275","411508.43674831","2801539.96485752","4562004.26071084","8603773.30383284","13716308.18379492","15589825.2671908"
"2017-09-20","3870.1157249267467","3900.8471411741266","64697085104.67458","64582823404.49912","436852.34812302","2801942.83050972","4660648.65427146","8694173.5366408","13768254.57228145","15612215.60018639"
"2017-09-19","3900.17413766831","4094.6761502596855","67900314703.92185","65073733640.12093","450897.84375364","2800031.01817233","4683040.33605411","8710325.04105749","13777753.93482229","15616443.14935019"
