"Date","Adjusted RVT","Volatility","Total Issuance","1 Day Active Supply","Miner Supply","Hash Rate","Miner Revenue per Hash","Miner Revenue per Hash per Second","Miner Revenue per Hash per Second (Native Units)","Addresses Count"
"2020-05-13","32.97152508","0.7770893989361112","6933979.169021407","474051.42804152","16895369443.00254","95268344.37023449","9.7e-7","0.083759047052","0.000008984133","30288026"
"2021-07-01","42.431525444429","0.988340463910338","20103048.29610756","314847.31393365","60049328825.08684","95122984.45349903","0.000002741621","0.236876046153","0.000007069855","38496785"
"2019-09-08","65.60695157","0.5901613229585154","23026075.266982675","173500.11369258","18584406532.659733","94779757.97238144","0.00000284","0.245323395759","0.00002357232","27010288"
"2020-01-27","53.1794086","0.5449470661943168","14354409.346841022","199777.446218","15855939924.246897","94755300.65058112","0.00000178","0.15344001657","0.000017236657","28803692"
"2019-12-08","126.72071298","0.4936459712440773","13928539.498451198","189851.84304287","13432982126.222584","94736471.25392947","0.00000171","0.148168830339","0.000019679905","28384216"
"2019-12-09","63.35626195","0.47714476066601585","13579420.799313262","220769.70393286","13092145403.11931","94736471.25392947","0.00000168","0.145086655554","0.000019765962","28347849"
"2019-12-10","56.75247322","0.47718199709245745","13379369.799941551","307648.25481867","12899885218.586987","94736471.25392947","0.00000166","0.143007054442","0.000019773955","28304892"
"2019-10-06","116.99189667","0.4968758858296437","14629210.776665695","150463.65747246","14016565586.378645","94509815.38976245","0.00000181","0.156148614238","0.000019879869","27307483"
"2020-11-02","27.21200275","0.36563971515683324","8072366.576472122","365406.18100183","24786294925.655666","94436931.59503014","0.000001348367","0.116498929613","0.000008568892","32978296"
"2019-10-20","114.55708826","0.574167653799688","14990018.996677386","149844.92186556","14647079510.122696","94408818.6432885","0.00000185","0.160111577061","0.000019493213","27658814"
"2021-07-05","64.351448849462","0.9624179475715955","27977196.918366466","183583.50887102","60800028975.16755","94246664.36212581","0.000003632437","0.313842545369","0.000009254683","38083053"
"2020-06-15","40.74949794","0.5845462622047749","8143193.019728957","272709.59790821","17147628222.158993","94204171.7658072","0.00000104","0.089965129997","0.000009528808","30074280"
"2020-05-25","38.94325933","0.7776964604174404","6960306.704321304","338174.5117849","16150164888.123034","94064526.43468578","9.6e-7","0.08279327029","0.000009293016","30152864"
"2019-10-25","38.43666864","0.7415761764083159","14932730.181285808","382780.96904519","15446007200.820951","93923788.68060285","0.00000188","0.162341923856","0.000018753424","27724935"
"2019-11-03","71.61054617","0.7637018112079291","15886626.750745175","174268.08963034","16435492580.93838","93923788.68060285","0.00000199","0.171661357595","0.000018639315","27858152"
