"Date","Price (Close)","Price (Open)","Real Volume","Volatility","Active Addresses Count","Transaction Volume","Adjusted Transaction Volume","Transactions Count","Transactions per Second Count","Twitter Followers"
"2018-03-10","681.5336488762688","726.4042831568219","575517985.6944798","0.9085021957364631","318074","839253948.6608908","729400725.9700762","591377","6.8446412037037",""
"2019-05-14","217.1296657561226","196.15926164554938","1491856963.7360811","0.7411658654291858","355627","871666310.3324803","728273836.8247163","830785","9.61556712962963",""
"2018-03-11","720.8271212448052","681.2600913565911","570578335.9366952","0.882498125139174","288838","849292046.8795519","722330821.5446389","608899","7.04744212962963",""
"2018-07-02","476.2484565168463","451.8909340846271","439076116.0258485","0.902323553405293","235721","790141157.0617768","721465259.2560985","489559","5.66619212962963",""
"2017-10-21","299.5051741145919","302.5059237861524","190176720.72851008","0.7514194753444164","173297","3217063479.1304445","720796497.8346895","462902","5.35766203703704",""
"2017-10-26","295.32816122367456","296.43186620049613","108670178.84571804","0.6245806162230018","197162","2966705242.398237","720759040.6542417","466406","5.39821759259259",""
"2019-05-21","254.65586368361414","252.4013285025803","1087946974.694596","0.9945816023092185","370207","838652546.5311855","719366260.3053033","812799","9.40739583333333",""
"2017-05-21","147.12524990237904","122.42058782877336","261340769.15066907","1.6244101595294624","73366","2068938771.8471177","716010877.9237508","149699","1.73262731481481",""
"2019-06-24","311.12838816648497","306.79199280263174","1029676558.9727218","0.7471825571494761","363545","844383851.4980145","715851874.6487038","809637","9.37079861",""
"2018-04-17","502.7208283733133","511.38757935661425","506241611.64983696","1.0204119514407555","339274","828124342.7637899","714670139.3079904","742823","8.59748842592593",""
"2019-05-13","196.1431142131192","188.1618511594486","1261124295.8027174","0.6559368401968884","320643","841194662.6630007","714666699.5980291","758695","8.78119212962963",""
"2017-07-06","266.03480059543523","266.4363570601531","175186396.7167881","1.4203161578135226","133953","2326756146.166977","709176154.446101","258791","2.9952662037037",""
"2018-06-28","420.06241831655484","441.55720309893513","318490911.70186347","0.9557516249096694","393195","812483513.2052925","706229927.8655094","744784","8.62018518518519",""
"2017-11-07","291.7256114092308","297.3093485433059","278671954.0013011","0.6045757724258853","187168","2481155185.967818","704707897.2967174","470418","5.44465277777778",""
"2020-06-23","243.09737765911348","243.29133970878925","420833372.72274536","0.6750317107293619","489995","914276439.2667018","703952554.0624756","1119442","12.95650463",""
"2018-07-04","467.08898871874646","461.8489416501882","358301585.6687133","0.8828074315466158","230552","764564072.3778907","701648356.1642421","447112","5.17490740740741",""
"2018-07-23","449.4114145625372","457.46641703750015","380042598.3461565","0.6697920221404171","398296","804375911.050219","692359115.5206059","758657","8.78075231481482",""
"2017-09-23","285.93311657113156","262.8834109033051","170146867.16500163","1.3803928816435382","131179","2211899375.0079727","691998050.7942427","260107","3.01049768518519",""
"2018-07-30","455.8755002638526","466.2070950533032","407075223.8668748","0.6364714372699437","376103","773749362.3043813","690481694.5603244","757712","8.76981481481481",""
"2019-05-28","271.79108698887615","271.5287821646318","897797666.1241049","0.9551888509667661","350001","852917892.0025413","690455591.4979174","910535","10.538599537037",""
"2017-07-07","240.3700649390037","266.17226637364","259795220.0736013","1.444231922044754","154707","2270528081.8949065","690062047.5318772","295389","3.41885416666667",""
"2020-02-17","268.0347808981944","260.1899351319711","1288314524.9999306","0.7370280568987595","333123","856141724.143914","689321667.9759582","695366","8.04821759",""
